"Department","Department Abbreviation","Body/Agency","Agency Abbreviation","Name of service","2012 Q4: volume","2012 Q4: digital volume","2012 Q4: cost per transaction","2013 Q1: volume","2013 Q1: digital volume","2013 Q1: cost per transaction","Service Type","URL","Description of service","Notes on costs","Other notes","Customer type","Business model"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Statement of inventorship and of right to grant of a patent (F7)","8301","5139","","8301","","","Providing/reporting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Advisory, Conciliation and Arbitration Service","Acas","Registering for Model Workplace","2000","","","7668","","","Registering","","","","","Business","Fiscal"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Stamp Duty","7600","2700","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Creditor’s Bankruptcy Petition (CP6)","7000","","","7448","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Submission by industry of Environmental and  Emissions Monitoring returns","4536","","","7263","7263","","Providing/reporting information","https://www.og.decc.gov.uk/portal.htm","","","","Business","Fiscal"
"Home Office","Home Office","UK Border Agency","UKBA","Applications for short-term support (Section 4 support)","","","","7151","","","","","Application from persons who are homeless and might otherwise be detained","","","","Fiscal"
"Department for Business, Innovation and Skills","BIS","Technology Strategy Board","TSB","Monitoring reports filed","","","","7000","","","","","Monitoring officers file project progress reports and verify progress reports submitted by the projects.","","","",""
"Department for Business, Innovation and Skills","BIS","Office of Fair Trading","OFT","Applying for a new consumer credit licence (and paying the fee)","6750","","","6977","","","Requesting a licence/authorisation","http://www.oft.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Department for Business, Innovation and Skills","BIS","Graduate Talent Pool: internship vacancies posted by employers","","","","6892","","","Providing/reporting information","http://graduatetalentpool.direct.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Office of Fair Trading","OFT","Applying to renew an existing consumer credit licence (and paying the fee)","5250","","","6715","","","Requesting a licence/authorisation","http://www.oft.gov.uk/","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Department of Energy and Climate Change","DECC","CRC Energy Efficiency Scheme","","","","6400","","","Providing/reporting information","http://www.environment-agency.gov.uk/business/topics/pollution/126698.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","RP4- Extra Data for sub-contractor","6800","","","6240","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","RP3- Extra Data from Company Director","6800","","","6240","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Office of Fair Trading","OFT","Notifying changes to an existing consumer credit licence","6500","","","6237","","","Requesting a licence/authorisation","http://www.oft.gov.uk/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Entry Level Stewardship","34000","","","6104","","","Requesting benefits/grants/loans","http://www.naturalengland.org.uk/ourwork/farming/funding/es/els/online/default.aspx","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Animal Health and Veterinary Laboratories Agency","AHVLA","Disease Alert Notifications","6000","","","","","","Requesting information","http://animalhealth.defra.gov.uk/alerts/","","","","Business","Fiscal"
"Department for Transport","DfT","Vehicle and Operator Services Agency","VOSA","Application to be an HGV/PSV operator","7000","","","6000","0","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department for Transport","DfT","Vehicle and Operator Services Agency","VOSA","Application to be a MOT scheme Nominated Tester (NT)","6000","","","6000","0","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Right Start TM3","5951","5951","","5951","","","Registering","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","UK Trade & Investment","UKTI","Overseas Market Introduction Service (OMIS) (Commissioning bespoke services from UKTI)","6333","","","5779","","","Requesting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Ordnance Survey","OS","Ordnance Survey - physical products order fulfilment","19137","0","","5767","","","Ordering goods","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Submit proxy vote","5802","","","5645","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Change of proprietor's name or address, or other change to app - TM21","5550","","","5550","","","Amending/deleting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Communities and Local Government","DCLG","Department for Communities and Local Government","DCLG","Planning Inspectorate - Householder Appeals","5500","","","","","","Requesting a licence/authorisation","http://www.planningportal.gov.uk/planning/appeals/online/makeanappeal","","","","Citizen (mainstream)","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Clearing foreign divorces and foreign civil partnership dissolutions","5000","","","5471","","","Requesting a licence/authorisation","","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Creditor’s Winding-up Petition (CP4)","5000","","","5320","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Transport","DfT","Driving Standards Agency","DSA","Apply for Pass Plus packs","6000","","","5261","1027","","Ordering goods","https://www.gov.uk/pass-plus-approved-driving-instructor-adi-services","","","","Citizen (mainstream)","Cost recovery"
"Home Office","Home Office","Identity and Passport Service","IPS","Processing Adoption orders and providing a new birth certificate","4500","","","5210","","","Requesting a licence/authorisation","","","","","Citizen (mainstream)","Fiscal"
"Department of Energy and Climate Change","DECC","Coal Authority","","Statutory Planning Application Consultation","3500","","","5000","4900","","Requesting a licence/authorisation","http://coal.decc.gov.uk/en/coal/cms/services/permits/permits.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Technology Strategy Board","TSB","Application for funding","","","","4942","","","Requesting benefits/grants/loans","","The user either submits an online application or digitally transfers an application form to apply for grant funding.","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","National Apprenticeship Service","NAS","WSUK Skills Competitions system: Total number of registrations","4880","","","4880","","","Registering","http://www.apprenticeships.org.uk/About-Us/National-Apprenticeship-Service.aspx/","","","","Business","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Certificate of entitlement to a vehicle registration mark (V750): duplicate","4824","","","","","","Requesting information","","","","","Citizen (mainstream)","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Appointment for change of agent or contact address - TM33","4810","","","4810","","","Amending/deleting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Second part of Right Start - TM3S","4687","4687","","4687","","","Registering","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
